date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:46	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:15%20GMT	http://www.cplusplus.com/reference/iostream/ofstream/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/ofstream/index.html	(from http://www.cplusplus.com/reference/)
11:05:47	2549/2549	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:15%20GMT	http://www.cplusplus.com/reference/new.cgi?a=cfenv	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/new.136778.delayed	(from http://www.cplusplus.com/reference/cfenv/)
11:05:47	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:15%20GMT	http://www.cplusplus.com/reference/iostream/filebuf/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/filebuf/index.html	(from http://www.cplusplus.com/reference/)
11:05:47	2566/2566	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:16%20GMT	http://www.cplusplus.com/reference/edit.cgi?a=cfenv	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/edit6778.html	(from http://www.cplusplus.com/reference/cfenv/)
11:05:47	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:16%20GMT	http://www.cplusplus.com/reference/iostream/istringstream/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/istringstream/index.html	(from http://www.cplusplus.com/reference/)
11:05:47	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:16%20GMT	http://www.cplusplus.com/reference/iostream/stringstream/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/stringstream/index.html	(from http://www.cplusplus.com/reference/)
11:05:48	1460/1460	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Dec%202017%2005:40:16%20GMT	http://www.cplusplus.com/reference/delete.cgi?a=cfenv	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/delete6778.cgi	(from http://www.cplusplus.com/reference/cfenv/)
11:05:48	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:16%20GMT	http://www.cplusplus.com/reference/iostream/ostringstream/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/ostringstream/index.html	(from http://www.cplusplus.com/reference/)
11:05:48	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Tue,%2005%20Dec%202017%2005:40:17%20GMT	http://www.cplusplus.com/reference/iostream/stringbuf/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iostream/stringbuf/index.html	(from http://www.cplusplus.com/reference/)
11:05:48	2552/2552	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:17%20GMT	http://www.cplusplus.com/reference/new.cgi?a=cfloat	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/new8d19.html	(from http://www.cplusplus.com/reference/cfloat/)
11:05:49	30469/30469	---M-Z	200	added ('OK')	text/html	etag:1397746431	http://www.cplusplus.com/reference/atomic/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/atomic/index.html	(from http://www.cplusplus.com/reference/)
11:05:49	15701/15701	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/condition_variable/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/condition_variable/index.html	(from http://www.cplusplus.com/reference/)
11:05:49	17522/17522	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/future/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/future/index.html	(from http://www.cplusplus.com/reference/)
11:05:49	2569/2569	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:18%20GMT	http://www.cplusplus.com/reference/edit.cgi?a=cfloat	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/edit8d19.cgi	(from http://www.cplusplus.com/reference/cfloat/)
11:05:50	19102/19102	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/mutex/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/mutex/index.html	(from http://www.cplusplus.com/reference/)
11:05:50	2575/2575	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:18%20GMT	http://www.cplusplus.com/reference/delete.cgi?a=cfloat	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/delete8d19.cgi	(from http://www.cplusplus.com/reference/cfloat/)
11:05:50	14734/14734	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/thread/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/thread/index.html	(from http://www.cplusplus.com/reference/)
11:05:50	39533/39533	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/algorithm/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/algorithm/index.html	(from http://www.cplusplus.com/reference/)
11:05:51	20580/20580	---M-Z	200	added ('OK')	text/html	etag:1403713240	http://www.cplusplus.com/reference/chrono/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/chrono/index.html	(from http://www.cplusplus.com/reference/)
11:05:51	15402/15402	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/codecvt/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/codecvt/index.html	(from http://www.cplusplus.com/reference/)
11:05:51	20872/20872	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/complex/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/complex/index.html	(from http://www.cplusplus.com/reference/)
11:05:51	2561/2561	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:20%20GMT	http://www.cplusplus.com/reference/new.cgi?a=cinttypes	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/new2cc7.cgi	(from http://www.cplusplus.com/reference/cinttypes/)
11:05:52	19575/19575	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/exception/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/exception/index.html	(from http://www.cplusplus.com/reference/)
11:05:52	2578/2578	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:20%20GMT	http://www.cplusplus.com/reference/edit.cgi?a=cinttypes	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/edit2cc7.html	(from http://www.cplusplus.com/reference/cinttypes/)
11:05:52	35789/35789	---M-Z	200	added ('OK')	text/html	etag:1387437987	http://www.cplusplus.com/reference/functional/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/functional/index.html	(from http://www.cplusplus.com/reference/)
11:05:53	14523/14523	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/initializer_list/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/initializer_list/index.html	(from http://www.cplusplus.com/reference/)
11:05:53	14768/14768	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/limits/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/limits/index.html	(from http://www.cplusplus.com/reference/)
11:05:53	27321/27321	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/iterator/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/iterator/index.html	(from http://www.cplusplus.com/reference/)
11:05:53	2584/2584	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Dec%202017%2005:40:21%20GMT	http://www.cplusplus.com/reference/delete.cgi?a=cinttypes	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/delete2cc7.html	(from http://www.cplusplus.com/reference/cinttypes/)
11:05:54	33571/33571	---M-Z	200	added ('OK')	text/html	etag:1435943161	http://www.cplusplus.com/reference/locale/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/locale/index.html	(from http://www.cplusplus.com/reference/)
11:05:54	17760/17760	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/new/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/new/index.html	(from http://www.cplusplus.com/reference/)
11:05:54	15320/15320	---M-Z	200	added ('OK')	text/html	etag:1386155017	http://www.cplusplus.com/reference/numeric/	D:/MyWebsites/C++Reference/www.cplusplus.com/reference/numeric/index.html	(from http://www.cplusplus.com/reference/)
